Identifiant;Active (0/1);Nom;Catégorie parente;Catégorie racine (0/1);Description;Balise de titre;Méta mots-clés;Méta description;URL simplifiée;URL de l'image;ID ou nom de la boutique
20;1;Nature;3;0;<p>La simplicité du nom fait la force de l’idée. Nos <strong>bougies naturelles et parfums d’ambiance</strong> sont élaborées avec des matières premières d’origine végétale.… En respectant son environnement proche comme celui de la planète, on prend soin de l’autre, de soi, naturellement.</p>;Nature, parfums d’ambiance écologiques;Nature, parfums d’ambiance écologiques;Découvrez une collection de parfums d’ambiance placée sous le signe de la Nature : bougies naturelles, bouquets parfumés et sprays d’intérieur, Bougies la Française.;nature;;1
21;1;La nature;19;0;<p>« <strong>La Nature</strong> » un baptême de collection qui a toute la force de la simplicité… Des <strong>parfums naturels</strong> en provenance directe de Grasse, des mèches de bougies 100% coton, des emballages en papier recyclé et une fabrication française pour une empreinte écologique minorée… <strong>Un retour au bien-être, à l’essentiel</strong>.</p>;La nature, parfums d’ambiance écologiques;La nature, parfums d’ambiance écologiques;Bougies la Française vous propose une collection de parfums d’ambiance écologiques inspirés de la Nature : bougies naturelles, bouquets parfumés et sprays d’intérieur.;la-nature;;1
22;1;Tendance;3;0;<p>La silhouette d’une jolie parisienne se dessine… A la pointe de la mode, notre collection de <strong>bougies Rendez-vous à Paris</strong> s’habille de noir et blanc pour un look so chic ! D’une humeur fraîche, pétillante, un tantinet taquine, suivez nos petites égéries pour une balade olfactive dans tout Paris !</p>;Tendances, bougies parfumées glamour;Tendances, bougies parfumées glamour;Découvrez notre collection de bougies parfumée ultra tendance : Paris Mode, un design unique, des senteurs originales, un univers féminin… par Bougies la Française. ;tendance;;1
23;1;Rendez-vous à Paris;21;0;<p>I love Paris ! Inspirées des codes fashion de la capitale, nos <strong>bougies parfumées</strong> s’habillent d’un trait de crayon qui pétille. Un coffret girly, des fragrances taquines, fusantes ou tout en gourmandises… Les « Miss » vous donnent Rendez-vous dans les plus beaux quartiers de Paris !</p>;Rendez-vous à Paris, bougies parfumées fashion;Rendez-vous à Paris, bougies parfumées fashion;Bougies la Française vous propose un Rendez-vous olfactif en plein cœur de Paris. Fashion, et originales, nos bougies parfumées seront le cadeau idéal des beautystas.;rendez-vous-a-paris;;1
24;1;Signature;3;0;<p>En s’inspirant des origines du métier de cirier perpétué par cinq générations, en s’appuyant sur le savoir-faire d’une manufacture reconnue. <strong>Cierges, bougies et accessoires du passé</strong>… Bougies la Française s’attache à ses valeurs pour dévoiler l’héritage de trésors oubliés.</p>;Signature, bougies et accessoires rétro;Signature, bougies et accessoires rétro;Cierges, bougies d’antan et accessoires rétro… Bougies la Française s’attache à ses valeurs pour dévoiler l’héritage de trésors oubliés.;signature;;1
25;1;La ciergerie;23;0;<p>Fidèle aux valeurs attachées au cierge traditionnel, Bougies la Française s’inspire des <strong>boîtes de bougies du siècle dernier<s/trong> pour vous proposer une collection authentique, au style rétro. Parsemez votre intérieur de quelques <strong>cierges, bougies et accessoires</strong>, et retrouvez les charmes d’antan.</p>;La ciergerie, bougies et accessoires d’antan;La ciergerie, bougies et accessoires d’antan;Pour les adeptes de la décoration rétro, Bougies la Française s’inspire des cierges, bougies et accessoires d’antan et vous propose une collection au style vintage.;la-ciergerie;;1
26;0;Art et matière;23;0;;;;;art-et-matiere;;1
27;1;Couleurs;3;0;<p>Une pointe d’optimisme, un kaléidoscope de pigments vitaminés ! Nos <strong>bougies et parfums d’ambiance</strong> s’irisent en nuances vibrantes et irradient nos émotions. Qu’elles soient vives ou pastels, roses, jaunes ou turquoises, nos <strong>bougies colorées</strong> vous font voir la vie du bon côté !</p>;Couleurs, bougies et parfums d’ambiance;Couleurs, bougies et parfums d’ambiance;Bougies la Française vous propose un large choix de bougies et senteurs colorées : découvrez toute les bougies décoratives, bougies parfumées, diffuseurs et encens.;couleurs;;1
28;1;Colorama;26;0;<p>I love colors… Bienvenue dans le grand Colorama. Une palette chromatique fun, girly, flashy ! Dans une symphonie « pep’s and pop », intense et très actuelle, nos <strong>bougies décoratives</strong> se jouent sur tous les tons et réveillent toute la maison.</p>;Colorama, bougies décoratives;Colorama, bougies décoratives;Une tonalité pastel ou vibrante, une bougie blanche, rose ou bleue. Dans une symphonie de couleurs pop, retrouvez toutes les bougies décoratives, Bougies la Française.;colorama;;1
29;1;Parfums et fantaisies;26;0;<p>Du noir pour l’élégance, de la couleur pour la fantaisie. Nos <strong>bougies, parfums d’ambiance et encens</strong> vous entraînent dans un univers chic et poétique. Une délicieuse rencontre qui révèle un voyage olfactif autour des fleurs et des végétaux… Un plaisir des sens au quotidien, à offrir ou à s’offrir !</p>;Parfums et fantaisies;Parfums et fantaisies;Pour une ambiance chic et poétique, Bougies la Française vous propose une large sélection de senteurs, bougies parfumées, encens et parfums d’ambiance.;parfums-et-fantaisies;;1
30;0;Saisonnier;3;0;;;;;saisonnier;;1
31;0;Noël scandinave;29;0;;;;;noel-scandinave;;1
32;0;Noël scintillant;29;0;;;;;noel-scintillant;;1
33;0;Noël gourmand;29;0;;;;;noel-gourmand;;1
34;1;Accessoires;3;0;;;;;accessoires;;1
35;1;Divers;33;0;;;;;divers;;1
36;1;Petites bougies;33;0;;;;;petites-bougies;;1
4;1;Bougies par thème;;0;;;;;bougies-par-theme;;1
37;1;Cadeaux;4;0;<p>Pour son anniversaire ou simplement pour lui dire « je t’aime »… Découvrez notre sélection de <strong>cadeaux parfumés</strong>. Pour elle, pour lui ou pour eux. Choisissez parmi nos plus beaux coffrets de <strong>bougies parfumées</strong> et <strong>senteurs</strong>… Il y a bien une fragrance qui envoûtera ses sens !</p>;Bougies, diffuseurs, cadeaux parfumés;Bougies, diffuseurs, cadeaux parfumés;Découvrez notre sélection de bougies d’anniversaire et cadeaux parfumés. Pour elle, pour lui, pour eux… Nos bougies parfumées sont le cadeau idéal pour toutes les occasions spéciales ! ;cadeaux;;1
38;1;Cadeaux pour elle;36;0;<p>Elle exprime les émotions, attise les sentiments. Parce qu’un parfum révèle une personnalité, la <strong>bougie parfumée</strong> devient l’idée cadeau idéale à offrir à vote dulcinée… Et pourquoi pas à votre maman ? Offrez-lui un bouquet floral, un panier gourmand ou une bougie glamour. Découvrez la senteur qui charmera ses sens !</p>;Cadeaux pour elle, bougies, diffuseurs;Cadeaux pour elle, bougies, diffuseurs;Vous recherchez le cadeau idéal ? Offrez-lui une bougie parfumée. Senteur florale, gourmande ou  ultra tendance, découvrez nos parfums qui envoûteront vos proches.;cadeaux-pour-elle;;1
39;1;Cadeaux pour lui;36;0;<p>Il est moderne et sophistiqué ? Un brin dandy ou plutôt aventurier ? Surprenez-le et éveillez ses sens en lui offrant un <strong>cadeau parfumé</strong>. Personnelle et originale, choisissez la <strong>bougie parfumée</strong> qui le fera craquer !</p>;Idée cadeau, bougie parfumée, bougie déco;Idée cadeau, bougie parfumée, bougie déco;Vous recherchez le cadeau idéal pour son anniversaire ou toute autre occasion particulière ? Faites-le craquer avec une bougie parfumée, signée Bougies la Française.;cadeaux-pour-lui;;1
40;1;Occasions spéciales;4;0;<p>Vous souhaitez célébrer votre anniversaire ou habiller votre table de fête ? Découvrez toute notre sélection de <strong>bougies d’anniversaires</strong> et de <strong>bougies décoratives</strong>… Pour que chaque occasion soit un moment d’exception.</p>;Bougies d’anniversaires, bougies de fête;Bougies d’anniversaires, bougies de fête;Bougies la Française vous propose de découvrir toute sa collection de bougies décoratives de fête et bougies d’anniversaire… Pour une décoration de fête !;occsions-speciales;;1
41;1;Bougies d'anniversaire;39;0;<p>Que serait une fête d’anniversaire sans bougies ? Douces, romantiques, fraîches ou acidulées… Nos <strong>bougies d’anniversaires</strong> feront pétiller votre gâteau. Il ne vous reste plus qu’à choisir le thème de votre fête. N’oubliez pas de faire un vœu avant de souffler vos petites bougies !</p>;Bougies anniversaire;Bougies anniversaire;Des bougies romantiques, fraîches ou acidulées pour décorer votre gâteau… Découvrez notre sélection de bougies d’anniversaires sur bougies-la-francaise.com.;bougies-d-anniversaire;;1
42;0;Bougies de fête;39;0;;;;;bougies-de-fete;;1
43;0;Fête des mères;39;0;;;;;fete-des-meres;;1
44;0;Fête des pères;39;0;;;;;fete-des-peres;;1
45;0;Mariage Point à la Ligne;4;0;;;;;mariage-point-a-la-ligne;;1
46;1;Bien-être;4;0;<p>Nos <strong>bougies naturelles et parfums d’ambiance</strong> puisent dans les ingrédients de la Terre. Dans une conception sans artifice, et enrichie en huiles essentielles, notre gamme se nourrit des bienfaits de La Nature pour vous procurer une atmosphère de <strong>sérénité</strong>, source de <strong>bien-être</strong>. </p>;Bougies et parfums d’ambiance bien-être;Bougies et parfums d’ambiance bien-être;Une conception toujours plus proche de la Nature. Bougies la Française vous invité à découvrir : bougies parfumées, bouquets parfumés et sprays d’intérieur naturels.;bien-être;;1
47;1;La nature;45;0;<p>Les <strong>bougies parfumées, diffuseurs et vaporisateurs d’intérieur</strong> de notre collection La Nature s’inspire des bienfaits de la Terre. Dans une conception naturelle, nos <strong>parfums d’ambiance</strong> vous procurent un incroyable éveil des sens… Un retour à l’essentiel, source de bien-être.</p>;Bougies et parfums d’ambiance naturels;Bougies et parfums d’ambiance naturels;Bougies la Française vous propose une collection de parfums d’ambiance naturels enrichie en huiles essentielles : bougies végétales, bouquets parfumés et sprays d’intérieur.;bien-etre-la-nature;;1
48;0;Soirées outdoor;4;0;;;;;soirees-outdoor;;1
49;0;Photophore de cire;47;0;;;;;photophore-de-cire;;1
50;0;Verres luisants;47;0;;;;;verres-luisants;;1
51;0;Accessoires verres luisants;47;0;;;;;accessoires-verres-luisants;;1
52;0;Arbres de lumière;47;0;;;;;arbres-de-lumiere;;1
53;0;Lanternes et torches;47;0;;;;;lanternes-et-torches;;1
54;0;Bougies flottantes piscine;47;0;;;;;bougies-flottantes-piscine;;1
55;0;Répulsifs;47;0;;;;;repulsifs;;1
56;0;Printemps-Eté;4;0;;;;;printemps-ete;;1
57;0;Automne-Hiver;4;0;;;;;automne-hiver;;1
5;1;Bougies parfumées;;0;;;;;bougies-parfumees;;1
58;1;Gourmandes;5;0;<p>Au parfum irrésistible, nos <strong>bougies gourmandes</strong> vous font vivre de purs moments de caprices. Craquez pour les délicieuses senteurs de vanille, chocolat, caramel, biscuit, macaron ou bonbon… Régalez-vous, nos <strong>bougies parfumées</strong> se dégustent à tout moment de la journée !</p>;Bougies parfumées senteur gourmande;Bougies parfumées senteur gourmande;Bougie senteur vanille, chocolat, caramel, biscuit ou macaron. Craquez pour le parfum irrésistible de nos bougies parfumées gourmandes, Bougies la Française.;bougies-gourmandes;;1
59;1;Florales;5;0;<p>Aériennes, délicates, fraîches, sensuelles ou poudrées, nos <strong>bougies florales</strong> libèrent une fragrance terriblement féminine. Entre les senteurs de rose, lavande, violette, pivoine ou fleurs d’oranger, nos <strong>bougies parfumées</strong> vous invitent dans une mélodie florale au cœur de pétales…</p>;Bougies parfumées senteur florale;Bougies parfumées senteur florale;Bougie senteur rose, lys ou pivoine… Un parfum floral s’installe. Découvrez toutes nos senteurs féminines avec les bougies parfumées florales, Bougies la Française.;bougies-florales;;1
60;1;Boisées;5;0;<p>Qu’elles soient de cèdre, de santal ou de patchouli, nos <strong>bougies boisées</strong> construisent leurs accords autour de bois nobles et précieux. Aux senteurs intenses, nos <strong>bougies parfumées</strong> puisent leur force dans la nature et laissent planer une atmosphère empreinte d’élégance.</p>;Bougies parfumées senteur boisée;Bougies parfumées senteur boisée;Une bougie senteur patchouli, cèdre ou santal pour une ambiance élégante. Découvrez toute l’intensité des bougies parfumées boisées, Bougies la Française.;bougies-boisees;;1
61;1;Orientales;5;0;<p>Drapées de reflets dorés, nos <strong>bougies orientales</strong> vous plongent dans un voyage olfactif à travers les continents. Posées sur un fond d’ambre, de bois précieux, de musc ou de vanille la fragrance de nos <strong>bougies parfumées</strong> s’enrichit de volupté.</p>;Bougies parfumées senteur orientale;Bougies parfumées senteur orientale;Une senteur subtilement ambrée, boisée et vanillée pour une ambiance de volupté. bougies-la-francaise.com vous propose une sélection de bougies parfumées orientales.;bougies-orientales;;1
62;1;Régressives;5;0;<p>Et si l’une de nos <strong>bougies parfumées</strong> était votre petite madeleine ? Dotées des senteurs emblématiques de votre enfance, nos bougies régressives remontent dans votre passé pour réveiller un souvenir égaré. A travers les parfums de bonbon, savon ou colle, trouvez la bougie qui vous ressemble !</p>;Bougies parfumées senteur régressive;Bougies parfumées senteur régressive;Une bougie originale aux senteurs traditionnelles ou gourmandes. Nos bougies parfumées régressives remontent dans votre passé en dévoilant un doux parfum d’antan.;bougies-regressives;;1
63;1;Fruitées;5;0;<p>Des <strong>bougies fruitées</strong>… A croquer ! Avec nos bougies figue, mûre, fruits rouges ou rhubarbe, profitez de vos fruits préférés tout au long de l’année. Sucrées, juteuses, fraîches ou acidulées… Et terriblement gourmandes, nos <strong>bougies parfumées</strong> diffuseront de belles notes de gaieté.</p>;Bougies parfumées senteur fruitée;Bougies parfumées senteur fruitée;Vous recherchez une bougie senteur figue, mûre, fruits rouges ou rhubarbe ? Découvrez toutes nos bougies parfumées fruitées sur bougies-la-francaise.com.;bougies-fruitees;;1
64;1;Hespéridées;5;0;<p>Profitez d’un cocktail vitaminé avec nos <strong>bougies hespéridées</strong> ! Bergamote, citron, orange et mandarine s’unissent dans un accord solaire et pétillant. Parsemées de zestes d’agrumes, les <strong>senteurs hespéridées</strong> de nos bougies sèmeront de belles notes de fraîcheur dans votre intérieur.</p>;Bougies parfumées senteur hespéridée;Bougies parfumées senteur hespéridée;Bougies la Française vous propose une sélection de bougies parfumées hespéridées haut de gamme. Orange, citron ou bergamote ? Les agrumes parfument votre intérieur.;bougies-hesperidees;;1
65;1;Epicées;5;0;<p>Sur la route des épices, poivre, clous de girofle, cardamome et cannelle ont été sélectionnés avec soin et agrémentent nos plus belles fragrances. Dans un jeu de contrastes, nos <strong>bougies épicées</strong> se parent de facettes olfactives uniques pour vous offrir un parfum de caractère.</p>;Bougies parfumées senteur épicée;Bougies parfumées senteur épicée;Nos bougies parfumées épicées s’agrémentent de poivre, clous de girofles et cannelle. Découvrez tous nos parfums de caractère signés Bougies la Française.;bougies-epicees;;1
66;1;Tendances;5;0;<p>Fragrances mutines, senteurs espiègles… Les <strong>bougies parfumées Rendez-vous à Paris</strong> donnent le ton. Senteurs coquines pour des notes qui pétillent, ou tout en gourmandises… Suivez les « Miss » pour une balade olfactive dans le Paris des parisiennes !</p>;Bougies parfumées tendances;Bougies parfumées tendances;A la pointe de la mode, les bougies parfumées Rendez-vous à Paris s’habillent de senteurs qui pétillent. Découvrez les bougies glamour, signées Bougies la française.;bougies-tendances;;1
67;0;Parfums de saison;5;0;<p>Dans la douceur d’un parfum d’hiver, nos <strong>bougies parfumées</strong> révèlent les notes chaleureuses d’un feu de bois, l’odeur aromatique du sapin, l’onctuosité gourmande d’un chocolat chaud... Pour peu que l’on ferme les yeux, notre mémoire olfactive nous replonge dans les souvenirs de nos plus beaux Noëls d’enfant.</p>;Bougies parfumées senteur parfums d’hiver;Bougies parfumées senteur parfums d’hiver;Un feu de bois, un parfum de sapin, une senteur gourmande de chocolat. Redécouvrez nos plus beaux parfums d’hiver avec les bougies parfumées, Bougies la Française.;parfums-de-saison;;1
68;0;Point à la Ligne;5;0;;;;;point-a-la-ligne;;1
6;1;Bougies décoratives;;0;;;;;bougies-decoratives;;1
69;1;Colorama;6;0;<p>Parce que les couleurs égaient nos vies et embellissent nos intérieurs. Nos <strong>bougies colorées</strong> sont le détail déco d’un habitat plein de vitalité ! Des <strong>bougies dragées</strong> pour une touche sucrée, aux <strong>bougies acidulées</strong> pleines de tonicité… Chosissez parmi notre palette et créez une ambiance qui vous ressemble !</p>;Colorama, bougies décoratives;Colorama, bougies décoratives;Des bougies couleur dragée aux bougies acidulées, chosissez parmi notre palettede bougies décoratives et créez une ambiance qui vous ressemble !;colorama;;1
70;1;Bougies de table;68;0;<p>Intemporelles, délicates ou intenses, nos <strong>bougies longues et flambeaux</strong> s’habillent d’intensité et illuminent votre table d’une jolie tonalité. Festif ou romantique, choisissez le thème de votre dîner. Colorez votre soirée, tamisez votre ambiance, attisez les sentiments…</p>;Bougies de table, chandelles et flambeaux;Bougies de table, chandelles et flambeaux;Pour une décoration de table festive ou romantique, les bougies flambeaux et chandelles s’habillent de couleur. Découvrez nos bougies de table et illuminez votre dîner.;bougies-de-table;;1
71;1;Bougies recharge;68;0;<p>Classiques ou colorées, nos <strong>bougies votives</strong> et <strong>chauffe-plats</strong> illumineront votre intérieur en toute simplicité. Déposées dans une lanterne ou un photophore pour une ambiance lumineuse du plus bel effet, ces <strong>petites bougies</strong> restent un basic à avoir toujours à porté de main !</p>;Bougies recharges, votives et chauffe-plats;Bougies recharges, votives et chauffe-plats;Pour une ambiance tamisée, découvrez nos bougies votives et chauffe-plat. Classiques ou colorées, nos petites bougies illuminent votre soirée en toute simplicité.;bougies-recharge;;1
72;1;Bougies d'ambiance;68;0;<p>Faites de votre soirée un instant d’exception… Pièces maitresses de votre décoration, nos <strong>bougies d’ambiance</strong> ornent votre console ou table de salon. Rondes ou cylindriques, au coloris classique ou pétillant, découvrez notre large gamme de bougies et composez votre déco !</p>;Bougies d’ambiance, rondes et cylindriques;Bougies d’ambiance, rondes et cylindriques;Bougies la Française vous propose une large gamme de bougies d’ambiance. Découvrez touts nos bougies rondes et cylindriques et composez votre déco.;bougies-d-ambiance;;1
73;1;Bougies de fête;68;0;;;;;colorama-bougies-de-fete;;1
74;1;Bougies d'anniversaire;68;0;;;;;colorama-bougies-d-anniversaire;;1
75;1;Fantaisie;6;0;<p>Un design exclusif pour des bougies uniques ! Nos <strong>bougies fantaisies</strong> misent sur la créativité, les idées pop, couleurs flash et formes figuratives… Composer, compléter, assortir, un jeu d’enfant pour faire de la <strong>bougie non parfumée</strong> un accessoire déco ultra tendance.</p>;Fantaisies, bougies décoratives;Fantaisies, bougies décoratives;Bougies la Française vous propose des bougies décoratives au design unique. Découvrez toutes nos bougies fantaisies et personnalisez votre déco.;fantaisie;;1
76;1;Bougies figuratives;74;0;<p>Un design unique… Signé Bougies la Française ! Aux formes originales, nos <strong>bougies figuratives</strong> deviennent de véritables accessoires déco. Saupoudrées de couleur, d’une pointe d’humour, un tantinet décalées, elles sèmeront une dose de bonne humeur dans tout votre intérieur !</p>;Fantaisies, bougies décoratives;Fantaisies, bougies décoratives;Découvrez toutes nos bougies décoratives, Bougies la Française. Au design unique, nos bougies originales deviennent de véritables atouts pour votre décoration.;bougies-figuratives;;1
77;0;Déco de saison;74;0;;;;;deco-de-saison;;1
78;0;Point à la Ligne;6;0;;;;;point-a-la-ligne;;1
7;1;Diffuseurs;;0;;;;;diffuseurs;;1
79;1;Fruités et gourmands;7;0;<p>Comme un parfum d’addiction… Succombez à la tentation ! Nos <strong>diffuseurs de parfum fruités et gourmands</strong> éveillent vos papilles. Les effluves prennent le délicieux goût de mûre, rhubarbe, figue ou vanille. Savourez ses senteurs sans complexe et plongez dans une ambiance de délices.</p>;Diffuseurs de parfum fruités et gourmands;Diffuseurs de parfum fruités et gourmands;Découvrez tous nos diffuseurs de parfum fruités et gourmands. Senteur vanille, figue ou rhubarbe, nos parfums d’ambiance vous plongeront dans un univers de délices. ;diffuseurs-fruites-et-gourmands;;1
80;1;Floraux;7;0;<p><strong>Parfum floral</strong> : une senteur féminine, subtile et délicate. Enveloppez-vous dans le sillage d’un ballet de pétales soyeux. Roses, lys et pivoines vous entrainent dans une nouvelle romance… Découvrez tous nos <strong>diffuseurs de parfum floraux</strong> et évadez dans une ambiance d’une extrême douceur.</p>;Diffuseurs de parfum floraux;Diffuseurs de parfum floraux;Senteur rose, lys ou pivoine, craquez pour un parfum floral. Bougies la Française vous propose un large choix de parfums d’ambiance et diffuseurs floraux. ;diffuseurs-floraux;;1
81;1;Boisés;7;0;<p>Elégantes et sophistiquées, nos <strong>senteurs boisées</strong> vous entrainent dans un univers de voyages aux horizons lointains… Au <strong>parfum de cèdre, santal et patchouli</strong>, nos diffuseurs tirent leur caractère de bois précieux pour vous dévoiler un sillage envoûtant.</p>;Diffuseurs de parfum boisés;Diffuseurs de parfum boisés;Un parfum d’ambiance cèdre, santal et patchouli pour une ambiance élégante et sophistiquée. Découvrez tous les diffuseurs de parfum boisés, Bougies la Française.;diffuseurs-boises;;1
82;1;Orientaux;7;0;<p>Aux portes de l’orient, nos <strong>parfums d’ambiance</strong> se parent d’un voile aux reflets dorés… Autour de notes ambrées, boisées, musquées et vanillées, nos <strong>diffuseurs orientaux</strong> puisent dans la richesse des matières et dévoilent des effluves aussi précieux qu’envoûtants.</p>;Diffuseurs de parfum orientaux;Diffuseurs de parfum orientaux;Aux portes de l’orient, nos parfums d’ambiance se parent de reflets dorés. Aussi précieux qu’envoûtant, découvrez tous nos diffuseurs de parfum orientaux. ;diffuseurs-orientaux;;1
83;1;Epicés;7;0;<p>Un parfum aux mille facettes… Nous avons ajouté une pincée de poivre, quelques clous de girofles, une touche de cardamome et une note de cannelle dans nos plus belles fragrances. Laissez-vous charmer par nos <strong>diffuseurs épicés</strong> ! </p>;Diffuseurs de parfum épicés;Diffuseurs de parfum épicés;Nos diffuseurs de parfum épicés s’agrémentent de poivre, clous de girofles et cannelle. Découvrez tous nos parfums d’ambiance de caractère, Bougies la Française.;diffuseurs-epices;;1
84;1;Recharges de diffuseur;7;0;<p>Vous avez déjà un diffuseur d’ambiance ? Dans un geste malin, découvrez toutes nos <strong>recharges de parfum</strong>. Des senteurs florales, fruitées, orientales ou boisées… Trouvez celle que vous préférez et plongez votre intérieur dans un univers olfactif qui vous ressemble. </p>;Recharges de diffuseurs de parfum;Recharges de diffuseurs de parfum;Aux senteurs florales, fruitées, orientales ou boisées. Découvrez nos recharges de parfum. Parfumez votre ambiance et prolongez vos instants de plaisirs olfactifs.;recharges-de-diffuseur;;1
85;1;Sprays d'ambiance;7;0;<p>Ravivez vos sens, sublimez votre intérieur… En quelques pulvérisations, nos <strong>vaporisateurs d’ambiance</strong> libèrent votre fragrance préférée. Un simple geste suffit pour accueillir vos invités dans une ambiance parfumée !</p>;Vaporisateurs d’ambiance, parfum dintérieur;Vaporisateurs d’ambiance, parfum dintérieur;Aux senteurs florales, fruitées, orientales ou boisées. Découvrez nos vaporisateurs d’ambiance et évadez-vous dans un instant de plaisirs olfactifs.;sprays-d-ambiance;;1
86;0;Point à la Ligne;7;0;;;;;point-a-la-ligne;;1
8;1;Accessoires;;0;;;;;nos-accessoires;;1
87;1;Verreries;8;0;;;;;verreries;;1
88;1;Petits accessoires;8;0;;;;;petits-accessoires;;1
89;1;Recharges;8;0;;;;;recharges;;1
90;1;Saisonnier;8;0;;;;;saisonnier;;1
91;1;Bougeoirs, photophores et lanternes;8;0;;;;;bougeoirs-photophores-et-lanternes;;1
